Date,MaxTemperature,MinTemperature,AverageTemperature,Humidity,Rainfall,WindSpeed
2025-04-19,39.9,27.4,32.6,41,0.0,19.7
2025-04-20,40.0,27.0,33.1,37,0.0,17.4
2025-04-21,40.4,26.3,33.8,23,0.0,11.9
2025-04-22,39.5,24.6,32.6,10,0.0,12.2
2025-04-23,39.2,23.8,32.2,11,0.0,13.7
2025-04-24,40.4,24.4,32.8,11,0.0,15.3
2025-04-25,41.6,25.3,33.8,13,0.0,14.3
2025-04-26,41.5,26.0,34.3,13,0.0,18.8
2025-04-27,40.8,28.3,34.5,14,0.0,11.2
2025-04-28,41.1,26.5,33.0,20,0.0,17.3
2025-04-29,37.5,25.0,31.3,35,0.0,15.0
2025-04-30,36.8,26.3,31.5,37,0.0,12.3
2025-05-01,37.6,25.9,31.8,36,0.0,14.7
2025-05-02,28.6,21.7,26.2,65,12.4,13.3
2025-05-03,35.4,24.0,28.3,54,3.4,12.3
2025-05-04,34.8,24.4,29.9,49,2.0,11.5
2025-05-05,35.6,24.2,28.5,58,0.1,13.4
2025-05-06,34.4,22.2,27.4,62,0.4,19.3
2025-05-07,33.3,23.7,27.8,62,0.5,10.7
2025-05-08,32.4,23.9,28.3,61,2.7,11.6
2025-05-09,37.1,25.1,30.7,49,1.1,9.8
2025-05-10,37.1,26.6,30.9,52,1.5,18.2
2025-05-11,38.2,25.1,31.7,49,0.0,14.0
2025-05-12,39.6,25.5,33.0,35,0.0,13.5
2025-05-13,41.3,28.1,34.7,24,0.0,18.7
2025-05-14,41.2,28.5,35.3,21,0.0,16.2
2025-05-15,41.9,29.7,36.2,21,0.0,12.2
2025-05-16,42.7,28.8,35.8,24,0.0,18.1
2025-05-17,42.8,29.2,35.7,28,0.0,19.7
2025-05-18,42.1,29.5,35.2,31,0.0,14.4
2025-05-19,42.0,28.2,34.5,45,0.0,12.8
2025-05-20,42.6,28.0,34.9,45,0.0,20.6
2025-05-21,43.0,29.8,34.8,45,0.0,22.6
2025-05-22,37.0,25.0,31.4,55,0.0,14.7
2025-05-23,38.2,26.4,32.3,52,1.5,14.0
2025-05-24,37.7,28.5,33.4,48,0.4,16.8
2025-05-25,31.2,23.0,28.4,66,0.4,16.2
2025-05-26,35.7,24.1,29.8,65,1.8,15.6
2025-05-27,36.1,26.2,31.2,62,0.0,8.8
2025-05-28,39.5,27.4,33.2,55,0.0,11.3
2025-05-29,40.1,27.6,33.6,52,0.3,8.8
2025-05-30,36.1,27.1,31.6,49,0.0,13.2
2025-05-31,39.7,26.1,31.9,48,1.0,14.4
2025-06-01,37.3,26.4,31.0,48,4.2,18.6
2025-06-02,37.1,24.1,30.9,48,0.3,10.3
2025-06-03,34.6,25.8,30.2,46,0.0,12.3
2025-06-04,36.4,24.5,28.8,55,0.3,19.8
2025-06-05,37.2,24.4,30.9,46,0.0,9.4
2025-06-06,37.8,25.9,32.7,40,0.0,10.2
2025-06-07,41.2,28.0,34.7,37,0.0,10.4
2025-06-08,42.8,29.6,36.6,35,0.0,14.6
2025-06-09,43.7,30.0,37.5,29,0.0,16.5
